latitude,longitude,sample_time,x_ec,y_ec,r_ec
42.2305217,-8.7373017,01-May-2021 00:00:30,444.809946525045,-755.606793458091,876.810991518487
42.2305583,-8.73744,01-May-2021 00:01:30,444.799892964949,-755.601763344187,876.801556539719
42.2305577,-8.73744120000011,01-May-2021 00:02:30,444.79982337675,-755.600862430446,876.800744856904
42.2305557,-8.73743949999951,01-May-2021 00:03:30,444.799964974006,-755.600116916706,876.800174227524
42.2305538,-8.737439,01-May-2021 00:04:30,444.800019184121,-755.5993603028,876.799549701182
42.2305183,-8.7373,01-May-2021 00:05:30,444.810159317753,-755.60233328906,876.807255845979
42.2305183,-8.7373017,01-May-2021 00:06:30,444.810053318286,-755.601365775319,876.806368301773
42.230557,-8.7374458,01-May-2021 00:07:30,444.799577387386,-755.596102561415,876.796518155722
42.2305573,-8.7374472,01-May-2021 00:08:30,444.799493234684,-755.595101747677,876.795612994793
42.2305538,-8.73744469999924,01-May-2021 00:09:30,444.799693089995,-755.594522733933,876.795215405784
42.2305520000005,-8.7374422,01-May-2021 00:10:30,444.799892945195,-755.593755019969,876.79465520111
42.2305183,-8.7373017,01-May-2021 00:11:30,444.810142312654,-755.596528206288,876.802244603422
42.2305183,-8.7373,01-May-2021 00:12:30,444.810283909864,-755.595560692548,876.801482668831
42.230555,-8.7374398,01-May-2021 00:13:30,444.80012111594,-755.590519478643,876.79198266793
42.2305558,-8.7374402,01-May-2021 00:14:30,444.800109785793,-755.589463164903,876.791066623788
42.230555000001,-8.7374402,01-May-2021 00:15:30,444.800127584669,-755.588584450889,876.790318406765
42.2305565,-8.7374415,01-May-2021 00:16:30,444.800050714223,-755.587450437258,876.789302155113
42.2305183,-8.7373,01-May-2021 00:17:30,444.810372904233,-755.590723123517,876.797358979555
42.2305183,-8.7373,01-May-2021 00:18:30,444.810390703109,-755.589755609612,876.796534242492
42.2305183,-8.7373,01-May-2021 00:19:30,444.810408501981,-755.588788095872,876.795709505861
42.2305527,-8.7374417,01-May-2021 00:20:30,444.800107345205,-755.584002182131,876.786359296193
42.2305535000007,-8.7374392,01-May-2021 00:21:30,444.80030720046,-755.582945868147,876.785550389838
42.2305515,-8.737437,01-May-2021 00:22:30,444.800485208947,-755.582200354486,876.784998237676
42.2305498,-8.73743450000036,01-May-2021 00:23:30,444.800685064174,-755.581421540745,876.784428472069
42.2305183,-8.7373017,01-May-2021 00:24:30,444.81037369801,-755.58395052684,876.791523021927
42.2305183,-8.7373017,01-May-2021 00:25:30,444.810391496884,-755.5829830131,876.790698286989
42.2305532,-8.737437,01-May-2021 00:26:30,444.80055640444,-755.578141599359,876.781536667168
42.2305533000004,-8.7374412,01-May-2021 00:27:30,444.800268348597,-755.577162985405,876.780547199844
42.2305542,-8.73744130000027,01-May-2021 00:28:30,444.800278865194,-755.576095571714,876.779632677419
42.2305553,-8.73743900000098,01-May-2021 00:29:30,444.800464155886,-755.575005957974,876.778787689166
42.2305217,-8.7373017,01-May-2021 00:30:30,444.810480491253,-755.577768044069,876.786249388821
42.2305217,-8.7373,01-May-2021 00:31:30,444.810622088463,-755.576800530329,876.785487461086
42.2305498000009,-8.7374395,01-May-2021 00:32:30,444.800481141304,-755.572713916324,876.776821111516
42.2305477,-8.73743780000018,01-May-2021 00:33:30,444.800622738502,-755.571979502683,876.776260056214
42.230548,-8.737434,01-May-2021 00:34:30,444.800917263085,-755.570978688943,876.775547010207
42.2305512999996,-8.73743979999962,01-May-2021 00:35:30,444.800512691185,-755.569644875079,876.774192336313
42.2305183,-8.7373,01-May-2021 00:36:30,444.810711082831,-755.572340361297,876.781689027013
42.2305183,-8.7372983,01-May-2021 00:37:30,444.810852680043,-755.571372847557,876.780927101341
42.2305183,-8.7372983,01-May-2021 00:38:30,444.810870478917,-755.570405333652,876.780102370185
42.2305572,-8.7374438,01-May-2021 00:39:30,444.800292596441,-755.565119919907,876.770181252455
42.2305605,-8.7374437,01-May-2021 00:40:30,444.80031767757,-755.56378610617,876.769044550022
42.2305607,-8.737444,01-May-2021 00:41:30,444.800313629681,-755.562796392266,876.768189601541
42.2305183,-8.7372983,01-May-2021 00:42:30,444.81094167441,-755.566535278526,876.7768034489
42.2305183,-8.7372983,01-May-2021 00:43:30,444.810959473282,-755.565567764785,876.775978719344
42.2305217,-8.7373,01-May-2021 00:44:30,444.810853473819,-755.564222850881,876.774765957805
42.2305557,-8.73744150000036,01-May-2021 00:45:30,444.800566881528,-755.55948133714,876.765461304548
42.230557,-8.73744250000094,01-May-2021 00:46:30,444.800511857807,-755.558369523235,876.764475275759
42.2305574999998,-8.73744199999978,01-May-2021 00:47:30,444.800566068042,-755.557346509525,876.763621188154
42.2305568,-8.7374457,01-May-2021 00:48:30,444.800314423454,-755.556456695754,876.762726720203
42.2305217,-8.7373017,01-May-2021 00:49:30,444.810818669849,-755.55938528185,876.770579509388
42.2305217,-8.7373017,01-May-2021 00:50:30,444.810836468721,-755.558417768109,876.769754781865
42.2305538000006,-8.7374407,01-May-2021 00:51:30,444.800731932837,-755.553887154298,876.760724212688
42.2305562,-8.7374423,01-May-2021 00:52:30,444.800633215628,-755.552653240463,876.759610798608
42.2305587,-8.7374437,01-May-2021 00:53:30,444.800549062927,-755.551408226723,876.758495208381
42.2305584999992,-8.73744119999924,01-May-2021 00:54:30,444.800748918234,-755.550462913067,876.757781970808
42.2305217,-8.7372983,01-May-2021 00:55:30,444.811173059767,-755.553580199084,876.76575676201
42.2305217,-8.7372983,01-May-2021 00:56:30,444.811190858641,-755.552612685337,876.764932036359
42.2305583,-8.73744400000089,01-May-2021 00:57:30,444.800598411589,-755.54758257159,876.755223467235
42.2305573,-8.7374445,01-May-2021 00:58:30,444.800579799254,-755.546726057692,876.754475920282
42.2305578,-8.73744169999969,01-May-2021 00:59:30,444.800801501295,-755.545703043951,876.753706809599
